Game ID,Rental Date,Return Date,Customer ID
1,15-11-2022,20-11-2022,1001
2,16-11-2022,21-11-2022,1001
3,17-11-2022,22-11-2022,1002
4,18-11-2022,23-11-2022,1002
5,19-11-2022,24-11-2022,1003
6,20-11-2022,25-11-2022,1003
7,21-11-2022,26-11-2022,1004
8,22-11-2022,27-11-2022,1004
9,23-11-2022,28-11-2022,1005
9,29-11-2022,30-11-2022,1005
9,12-12-2022,13-12-2022,1005
10,24-11-2022,29-11-2022,1005
11,25-11-2022,30-11-2022,1006
,26-11-2022,01-12-2022,1006
13,27/11&2022,02-12-2022,1007
14,28-11-2022,03-12-2022,1007
15,29-11-2022,04-12-2022,1008
16,30-11-2022,05-12-2022,1008
17,01-12-2022,06-12-2022,1009
18,02-12-2022,07-12-2022,1009
19,03-12-2022,08-12-2022,1010
20,04-12-2022,09-12-2022,1010
21,05-12-2022,10-12-2022,1011
22,06-12-2022,11-12-2022,1011
23,07-12-2022,12-12-2022,1012
24,08-12-2022,13-12-2022,1012
25,09-12-2022,14-12-2022,1013
26,10-12-2022,15-12-2022,1013
27,11-12-2022,16-12-2022,1014
28,12-12-2022,17-12-2022,1014
29,13-12-2022,18-12-2022,1015
30,14-12-2022,19-12-2022,1015
30,20-12-2022,21-12-2022,1015
30,22-12-2022,23-12-2022,1015
30,24-12-2022,25-12-2022,1015
31,15-12-2022,20-12-2022,1016
32,16-12-2022,21-12-2022,10161
33,17-12-2022,22-12-2022,1017
34,18?12\2022,23%12@2022,1017
35,19-12-2022,24-12-2022,1018
36,20-12-2022,25-12-2022,1018
37,21-12-2022,26-12-2022,1019
38,22-12-2022,27-12-2022,1019
39,23-12-2022,28-12-2022,1020
40,24-12-2022,29-12-2022,1020
41,25-12-2022,30-12-2022,1021
42,26-12-2022,31-12-2022,1021
43,27-12-2022,01-01-2023,1022
44,,02-01-2023,1022
45,29-12-2022,03-01-2023,1023
46,30-12-2022,04-01-2023,1023
47,31-12-2022,05-01-2023,1024
48,01-01-2023,06-01-2023,1024
49,02-01-2023,07-01-2023,1025
50,03-01-2023,08-01-2023,1025
51,04-01-2023,09-01-2023,1026
52,05?01-2023,10-01-2023,1026
53,06-01-2023,11-01-2023,1027
54,07-01-2023,12-01-2023,1027
55,08-01-2023,13-01-2023,1028
56,09-01-2023,14-01-2023,1028
57,10-01-2023,15-01-2023,1029
58,11-01-2023,16-01-2023,1029
59,12-01-2023,17-01-2023,1030
60,13-01-2023,18-01-2023,1030
61,14-01-2023,19-01-2023,1031
62,15-01-2023,20-01-2021,1031
63,16-01-2023,21-01-2023,1032
64,17-01-2023,22-01-2023,1032
65,18-01-2023,23-01-2023,1033
66,19-01-2023,24-01-2023,1033
67,20-01-2023,25-01-2023,1034
68,22*01*2023,27#01#2023,1035
69,21-01-2023,26-01-2023,1034
70,23-01-2023,28-01-2023,1035
71,24-01-2023,29-01-2023,1036
72,25-01-2023,30-01-2023,1036
73,26-01-2023,31-01-2023,1037
74,27-01-2023,01-02-2023,1037
75,28-01-2023,02-02-2023,1038
76,29-01-2023,03-02-2023,1038
77,30-01-2023,04-02-2023,
78,31-01-2023,05-02-2023,1039
79,01-02-2023,06-02-2023,1040
80,02-02-2023,07-02-2023,1040
81,03-02-2023,08-02-2023,1041
82,04-02-2023,09-02-2023,1041
83,05-02-2023,10-02-2023,1042
84,06-02-2023,11-02-2023,1042
85,07-02-2023,12-02-2023,1043
86,08-02-2023,13-02-2023,1043
87,09-02-2023,14-02-2023,1044
88,10-02-2023,15-02-2023,1044
89,11|02|2023,16-02-2023,1045
90,12-02-2023,17-02-2023,1045
91,13-02-2023,18-02-2023,1046
92,14-02-2023,19-02-2023,1046
93,15-02-2023,20-02-2023,1047
94,16-02-2023,21-02-2023,1047
95,17-02-2023,22-02-2023,1048
96,18.02.2023,23&02-2023,1048
97,19-02-2023,24-02-2023,1049
98,20-02-2023,25-02-2023,1049
99,21-02-2023,26-02-2023,1050
100,22-02-2023,27-02-2023,1050
1,23-02-2023,28-02-2023,1051
2,24-02-2023,01-03-2023,1052
3,25-02-2023,02-03-2023,1053
4,26-02-2023,03-03-2023,1054
5,27-02-2023,04-03-2023,1055
6,28-02-2023,05-03-2023,1056
7,01-03-2023,06-03-2023,1057
8,02-03-2023,07-03-2023,1058
9,03-03-2023,08-03-2023,1059
10,04-03-2023,09-03-2023,1060
11,05-03-2023,10-03-2023,1061
12,06-03-2023,11-03-2023,1062
13,07-03-2023,12-03-2023,1063
14,08-03-2023,13-03-2023,1064
15,09-03-2023,14-03-2023,1065
16,10-03-2023,15-03-2023,1066
17,11-03-2023,16-03-2023,1067
18,12-03-2023,17-03-2023,1068
19,13-03-2023,18-03-2023,1069
20,14-03-2023,19-03-2023,1070
21,15-03-2023,20-03-2023,1071
22,16-03-2023,21-03-2023,1072
23,17-03-2023,22-03-2023,1073
24,18-03-2023,23-03-2023,1074
25,19-03-2023,24-03-2023,1075
26,20-03-2023,25-03-2023,1076
27,21-03-2023,26-03-2023,1077
28,22-03-2023,27-03-2023,1078
29,23-03-2023,28-03-2023,1079
30,24-03-2023,29-03-2023,1080
31,25-03-2023,30-03-2023,1081
32,26-03-2023,31-03-2023,1082
33,27-03-2023,01-04-2023,1083
34,28-03-2023,02-04-2023,1084
35,29-03-2023,03-04-2023,1085
36,30-03-2023,04-04-2023,1086
37,31-03-2023,05-04-2023,1087
38,01-04-2023,06-04-2023,1088
39,02-04-2023,07-04-2023,1089
40,03-04-2023,08-04-2023,1090
41,04-04-2023,09-04-2023,1091
42,05-04-2023,10-04-2023,1092
43,06-04-2023,11-04-2023,1093
44,07-04-2023,12-04-2023,1094
45,08-04-2023,13-04-2023,1095
